severity,severity_final,length,recDate,dispDate,ocat
1,1,300,18632,18932,5
3,3,240,18632,18872,5
5,6,162,18632,18794,5
1,1,563,18631,19194,5
4,4,6,18632,18638,2
5,5,103,18632,18735,1
4,4,332,18631,18963,1
1,1,309,18630,18939,5
2,2,84,18632,18716,1
2,5,282,18632,18914,1
3,3,75,18632,18707,5
1,1,296,18628,18924,5
5,5,44,18632,18676,1
2,3,196,18632,18828,5
1,2,306,18632,18938,1
5,5,498,18632,19130,2
5,5,160,18632,18792,3
4,4,141,18631,18772,1
2,5,44,18632,18676,1
5,5,257,18632,18889,1
4,4,182,18632,18814,5
5,5,134,18632,18766,1
3,4,155,18632,18787,5
2,2,231,18632,18863,5
5,5,43,18632,18675,2
3,3,190,18632,18822,5
4,6,104,18632,18736,5
5,5,184,18632,18816,3
3,3,140,18632,18772,5
3,3,63,18632,18695,5
2,2,140,18632,18772,5
4,4,56,18632,18688,2
4,4,44,18632,18676,5
5,4,135,18632,18767,5
5,5,170,18632,18802,5
3,6,78,18632,18710,5
3,3,76,18632,18708,5
3,3,76,18632,18708,5
3,3,369,18632,19001,5
5,5,105,18632,18737,5
5,5,99,18633,18732,5
5,5,214,18633,18847,5
4,4,300,18632,18932,5
3,3,47,18633,18680,3
5,5,133,18633,18766,5
2,2,236,18633,18869,5
2,2,589,18632,19221,5
5,5,370,18633,19003,5
3,3,266,18633,18899,5
5,5,167,18633,18800,5
2,5,152,18633,18785,1
5,5,209,18633,18842,5
3,3,70,18633,18703,1
3,3,70,18633,18703,1
5,5,169,18633,18802,1
2,2,383,18632,19015,5
2,2,1394,18632,20026,5
2,2,119,18632,18751,5
2,5,160,18633,18793,1
3,5,316,18633,18949,1
4,4,110,18633,18743,5
4,4,105,18633,18738,1
1,1,733,18632,19365,5
1,2,1394,18632,20026,5
2,5,116,18633,18749,1
0,0,1205,18632,19837,4
3,3,103,18633,18736,1
1,1,733,18632,19365,5
1,2,1394,18632,20026,5
3,3,102,18633,18735,5
4,5,209,18633,18842,1
1,1,733,18632,19365,5
1,2,1394,18632,20026,5
1,2,99,18633,18732,1
2,2,64,18632,18696,5
5,5,341,18633,18974,5
5,5,40,18633,18673,1
5,5,25,18633,18658,5
0,0,2689,18633,21322,4
4,4,82,18633,18715,5
3,3,148,18630,18778,5
3,4,162,18633,18795,5
3,3,231,18633,18864,5
5,5,639,18632,19271,1
3,3,169,18633,18802,5
3,3,47,18633,18680,1
3,3,419,18632,19051,1
1,1,197,18633,18830,1
1,2,384,18633,19017,1
3,3,1230,18633,19863,5
4,4,92,18633,18725,5
2,3,1230,18633,19863,5
2,2,316,18633,18949,5
3,3,252,18633,18885,3
0,0,601,18633,19234,4
3,3,40,18633,18673,5
3,3,40,18633,18673,5
4,4,75,18633,18708,5
2,3,127,18633,18760,5
2,2,34,18633,18667,5
5,5,26,18633,18659,5
4,6,195,18633,18828,2
4,4,140,18633,18773,2
5,6,13,18633,18646,2
3,3,139,18633,18772,5
5,5,40,18633,18673,5
3,3,43,18633,18676,5
3,3,209,18633,18842,3
5,5,97,18633,18730,2
5,5,67,18633,18700,2
2,2,503,18633,19136,5
3,3,283,18634,18917,5
4,4,74,18634,18708,2
3,3,220,18634,18854,3
5,5,41,18633,18674,2
5,5,21,18634,18655,5
5,5,24,18634,18658,5
3,3,979,18634,19613,3
3,3,203,18634,18837,5
2,2,68,18634,18702,5
5,4,305,18634,18939,3
5,5,152,18633,18785,1
3,3,109,18634,18743,5
2,2,49,18634,18683,1
3,3,130,18633,18763,3
5,5,40,18634,18674,1
2,2,192,18634,18826,1
5,5,220,18634,18854,1
5,5,371,18634,19005,1
5,5,97,18634,18731,5
2,5,94,18634,18728,1
4,5,66,18634,18700,1
3,3,87,18634,18721,5
5,5,188,18634,18822,1
2,2,265,18633,18898,5
2,2,321,18632,18953,1
5,5,194,18633,18827,5
5,5,42,18634,18676,3
2,2,388,18634,19022,5
3,3,118,18634,18752,5
2,2,288,18633,18921,5
2,2,235,18633,18868,5
4,4,536,18634,19170,5
4,4,263,18634,18897,5
4,4,73,18634,18707,5
2,2,348,18634,18982,1
4,4,263,18634,18897,5
5,5,40,18634,18674,1
3,3,97,18634,18731,5
2,5,42,18634,18676,1
5,5,252,18633,18885,1
5,6,100,18631,18731,5
5,5,42,18634,18676,1
2,2,321,18632,18953,1
2,5,82,18634,18716,1
2,5,82,18634,18716,1
3,3,192,18634,18826,3
5,5,109,18634,18743,3
3,3,361,18634,18995,5
5,5,238,18634,18872,1
5,5,342,18634,18976,1
3,3,42,18634,18676,3
4,4,68,18634,18702,5
4,4,263,18634,18897,3
4,4,145,18634,18779,5
3,3,1068,18634,19702,5
5,5,133,18634,18767,5
5,5,55,18634,18689,2
3,3,38,18634,18672,5
5,5,213,18634,18847,3
2,2,756,18634,19390,5
2,2,182,18634,18816,5
5,5,124,18634,18758,5
5,5,27,18635,18662,5
5,5,172,18635,18807,3
3,6,67,18635,18702,5
3,6,67,18635,18702,5
5,5,114,18635,18749,5
3,6,67,18635,18702,5
3,6,67,18635,18702,5
1,2,136,18635,18771,5
3,3,45,18635,18680,5
5,6,436,18635,19071,5
5,5,228,18635,18863,5
4,4,199,18635,18834,5
2,2,73,18635,18708,5
3,3,33,18635,18668,5
5,5,381,18635,19016,2
5,5,88,18635,18723,5
5,5,52,18635,18687,2
4,4,111,18635,18746,3
5,5,374,18635,19009,5
4,4,173,18635,18808,5
5,5,290,18635,18925,5
4,6,194,18635,18829,5
4,4,545,18635,19180,2
5,5,583,18635,19218,5
5,5,69,18635,18704,2
3,3,107,18635,18742,5
4,5,73,18636,18709,5
5,5,11,18636,18647,5
3,3,737,18636,19373,3
3,3,117,18636,18753,5
2,2,431,18636,19067,5
5,5,367,18636,19003,2
4,4,332,18636,18968,5
4,4,708,18636,19344,5
5,5,22,18636,18658,5
4,4,642,18636,19278,2
3,3,326,18636,18962,5
5,5,373,18636,19009,5
4,4,60,18636,18696,5
3,3,134,18636,18770,3
4,4,240,18636,18876,3
5,5,172,18636,18808,5
5,5,61,18636,18697,5
5,5,165,18636,18801,3
5,6,260,18637,18897,3
3,4,184,18637,18821,5
4,4,65,18637,18702,5
4,4,94,18637,18731,5
2,2,154,18637,18791,5
2,2,154,18637,18791,5
3,5,94,18637,18731,1
5,5,119,18637,18756,5
4,4,225,18637,18862,1
5,5,259,18637,18896,5
1,1,612,18634,19246,5
2,2,106,18637,18743,1
5,5,255,18637,18892,1
2,2,276,18637,18913,1
3,3,644,18637,19281,5
2,2,152,18633,18785,1
4,4,143,18637,18780,5
5,5,123,18637,18760,1
4,5,121,18637,18758,1
2,5,379,18637,19016,1
5,5,39,18637,18676,1
2,2,100,18637,18737,1
5,5,147,18637,18784,1
1,1,613,18634,19247,5
1,1,656,18634,19290,5
1,1,738,18635,19373,5
5,5,207,18637,18844,1
2,2,136,18637,18773,5
5,5,338,18637,18975,5
5,5,213,18634,18847,1
5,5,59,18637,18696,1
1,1,186,18637,18823,1
3,3,262,18637,18899,5
1,1,739,18634,19373,5
2,5,176,18637,18813,1
5,5,260,18637,18897,1
5,5,431,18637,19068,1
5,5,45,18637,18682,5
5,5,79,18637,18716,1
5,5,58,18628,18686,3
1,1,612,18637,19249,5
5,5,233,18637,18870,5
5,5,58,18637,18695,1
1,4,1102,18635,19737,5
5,5,80,18635,18715,1
5,5,41,18633,18674,1
1,1,612,18637,19249,5
2,2,92,18637,18729,5
5,5,136,18637,18773,3
3,3,52,18637,18689,5
4,4,237,18634,18871,5
3,3,380,18637,19017,5
1,1,1073,18636,19709,5
5,5,190,18637,18827,5
3,3,107,18637,18744,3
2,2,193,18636,18829,1
3,3,63,18637,18700,5
1,1,1019,18636,19655,1
1,1,612,18637,19249,5
4,4,65,18637,18702,5
3,3,676,18637,19313,1
3,3,36,18637,18673,1
3,3,38,18635,18673,5
5,5,37,18637,18674,1
1,1,612,18637,19249,5
3,3,303,18637,18940,5
4,4,94,18637,18731,1
3,3,1145,18634,19779,5
3,3,480,18637,19117,5
5,5,113,18637,18750,2
4,4,193,18637,18830,1
1,1,382,18636,19018,3
5,5,51,18637,18688,1
5,5,171,18637,18808,1
5,5,74,18637,18711,1
5,5,120,18637,18757,5
5,5,459,18637,19096,2
3,3,158,18637,18795,5
3,3,164,18637,18801,5
4,4,441,18637,19078,5
4,4,38,18637,18675,2
3,3,289,18637,18926,5
4,4,86,18637,18723,2
5,5,87,18637,18724,2
5,5,38,18637,18675,5
5,5,9,18637,18646,2
4,5,184,18637,18821,3
3,3,37,18637,18674,5
3,3,450,18637,19087,5
3,3,127,18637,18764,5
4,4,150,18638,18788,5
3,4,157,18638,18795,5
4,4,406,18638,19044,3
4,6,619,18638,19257,5
3,3,510,18638,19148,5
3,3,937,18638,19575,5
5,5,50,18638,18688,1
4,4,48,18634,18682,5
5,5,666,18638,19304,1
5,5,258,18638,18896,1
3,3,751,18636,19387,5
1,5,36,18638,18674,1
4,6,279,18638,18917,5
1,2,45,18638,18683,1
3,3,140,18638,18778,1
5,5,65,18638,18703,1
1,1,609,18638,19247,5
2,2,73,18634,18707,5
1,1,1012,18636,19648,5
3,3,104,18638,18742,5
2,2,198,18638,18836,1
2,2,197,18638,18835,1
5,5,41,18633,18674,1
5,5,161,18638,18799,1
3,3,206,18638,18844,5
5,6,93,18638,18731,1
5,5,654,18638,19292,1
5,5,140,18638,18778,1
3,3,35,18638,18673,5
2,2,121,18636,18757,5
1,5,118,18638,18756,1
0,0,530,18633,19163,4
1,3,163,18638,18801,5
3,3,38,18635,18673,5
5,5,210,18638,18848,1
5,5,202,18638,18840,1
2,2,1494,18638,20132,1
3,3,227,18637,18864,5
2,2,77,18638,18715,1
4,4,850,18638,19488,1
5,5,57,18638,18695,2
2,2,142,18630,18772,5
5,5,274,18638,18912,1
5,5,461,18638,19099,1
3,2,67,18634,18701,5
3,3,38,18635,18673,5
5,5,475,18638,19113,1
1,1,611,18638,19249,5
2,2,190,18638,18828,1
5,5,91,18638,18729,1
3,3,255,18638,18893,3
5,5,574,18638,19212,5
3,3,104,18638,18742,5
3,3,226,18638,18864,5
5,5,294,18638,18932,5
3,3,70,18638,18708,5
3,3,1065,18638,19703,3
3,4,510,18638,19148,5
3,4,363,18638,19001,5
3,3,80,18638,18718,5
4,4,62,18638,18700,2
5,5,406,18638,19044,5
5,5,35,18638,18673,2
2,3,322,18638,18960,5
2,2,303,18638,18941,5
4,4,134,18638,18772,5
5,5,288,18638,18926,5
3,3,87,18638,18725,5
3,3,105,18638,18743,5
3,4,175,18638,18813,5
3,3,178,18638,18816,3
1,1,338,18638,18976,5
5,5,247,18638,18885,5
5,5,20,18639,18659,5
5,5,258,18639,18897,5
1,2,1279,18639,19918,5
5,5,35,18639,18674,5
5,5,181,18639,18820,5
4,1,1017,18639,19656,5
4,4,580,18639,19219,5
3,3,365,18638,19003,5
5,5,509,18639,19148,5
2,5,111,18639,18750,1
3,3,844,18634,19478,5
3,3,459,18634,19093,5
3,3,2476,18639,21115,5
2,2,459,18634,19093,5
3,3,1498,18639,20137,3
5,5,106,18639,18745,1
5,5,119,18639,18758,5
4,4,231,18639,18870,5
5,6,61,18634,18695,1
4,4,329,18639,18968,1
2,2,475,18634,19109,5
2,2,459,18634,19093,5
2,2,342,18639,18981,5
4,6,162,18639,18801,5
2,2,294,18633,18927,5
2,2,275,18639,18914,1
5,5,195,18639,18834,5
2,2,84,18639,18723,1
5,5,156,18639,18795,1
2,5,160,18639,18799,1
5,5,27,18639,18666,3
2,5,141,18639,18780,1
3,4,113,18639,18752,3
2,2,365,18639,19004,1
1,5,195,18638,18833,5
2,5,292,18639,18931,1
1,1,183,18638,18821,5
2,2,92,18639,18731,1
2,2,844,18634,19478,5
2,2,475,18634,19109,5
2,2,459,18634,19093,5
4,4,257,18639,18896,5
2,2,135,18639,18774,5
3,3,648,18636,19284,5
2,2,43,18639,18682,5
2,5,65,18639,18704,1
3,3,226,18639,18865,5
3,3,643,18639,19282,5
2,2,169,18639,18808,5
4,4,164,18637,18801,2
2,2,191,18639,18830,1
1,2,342,18639,18981,1
2,3,684,18639,19323,1
4,4,226,18639,18865,2
3,3,58,18639,18697,5
2,2,135,18639,18774,5
5,5,58,18639,18697,1
3,3,246,18639,18885,5
5,5,551,18639,19190,2
5,5,19,18639,18658,5
5,4,666,18639,19305,3
4,4,489,18639,19128,5
4,4,442,18639,19081,3
5,5,147,18639,18786,5
5,5,190,18639,18829,5
4,6,36,18639,18675,2
3,4,474,18639,19113,5
4,4,251,18639,18890,5
5,5,336,18639,18975,5
3,3,112,18639,18751,3
1,1,995,18640,19635,5
1,3,2168,18640,20808,5
5,6,85,18640,18725,5
3,3,153,18640,18793,5
3,3,88,18640,18728,3
5,5,677,18640,19317,3
5,5,256,18640,18896,5
0,0,1449,18639,20088,4
3,3,237,18640,18877,5
3,3,28,18639,18667,5
4,4,42,18640,18682,5
3,3,64,18640,18704,5
3,3,93,18637,18730,1
3,3,230,18640,18870,1
3,6,162,18632,18794,5
3,6,162,18632,18794,5
2,2,110,18640,18750,1
5,5,29,18639,18668,5
5,5,1210,18638,19848,1
5,5,214,18640,18854,1
4,4,336,18640,18976,5
5,5,49,18640,18689,1
5,5,292,18640,18932,1
2,5,295,18640,18935,1
2,2,132,18640,18772,5
1,1,721,18640,19361,1
1,1,181,18640,18821,1
5,5,50,18640,18690,1
5,5,57,18640,18697,1
5,5,189,18640,18829,1
1,1,959,18639,19598,5
2,2,343,18638,18981,5
3,3,341,18640,18981,5
